ID,Стоимость
10422379,2490825.2
192714934,2378061.0
100335930,3771184.0
113635973,3974467.2
125525832,11035004.0
121195995,7288265.5
143645988,10428699.0
156495381,3512751.0
156565385,4984875.0
159885518,13438252.0
170515351,5384148.0
173835484,5536393.5
172215580,5650804.0
184325294,11012576.0
114596132,22583504.0
146656449,2991390.8
140366644,4569689.0
167296244,13452584.0
198296575,3009313.0
103957863,4714380.0
148627161,15002351.0
173977335,20672106.0
171047649,19738014.0
171107643,10319061.0
175977682,14012426.0
175907683,14126128.0
175917683,17173028.0
175987683,17200504.0
175967684,12478621.0
175917685,14195016.0
175907686,12529875.0
175917686,14322745.0
175977686,17406934.0
175967688,14422583.0
175977688,12708729.0
173567738,14524829.0
173597738,14524829.0
173697733,14153347.0
173697735,14170838.0
173757735,11623906.0
173707738,14820829.0
173767738,14820829.0
173827731,11367359.0
108268396,3775761.0
117508556,3483277.2
126798133,14582000.0
142748867,11971917.0
147258863,8902841.0
147838956,5639619.5
164388222,14153347.0
164348224,10951282.0
164398224,14170838.0
164398225,14501316.0
164378226,14760571.0
164388226,14818439.0
164378227,10205617.0
164308228,14637825.0
164318228,14637825.0
164358228,12914300.0
164378228,10227213.0
164328229,14640215.0
164388229,14640215.0
161098391,14771326.0
178968225,29553428.0
185808007,11813848.0
185858008,11688090.0
185038014,11813848.0
185288017,13888227.0
180968626,2388058.0
195548101,20621422.0
195538102,10550382.0
195578102,20672106.0
195588103,12299563.0
195598104,21166054.0
195528109,10044725.0
195568109,10044725.0
195598109,10118443.0
191808437,33526744.0
191948436,17810444.0
191418784,11841089.0
192898919,9283886.0
102899306,9837011.0
104489954,10205617.0
109119938,10515320.0
115539029,10527733.0
116489087,10522796.0
116869080,9735280.0
117989000,18777474.0
111499261,13264332.0
111459264,13086047.0
111529495,3502251.8
112809405,3189120.0
112959410,2817887.8
110479729,2283764.2
118049741,10999347.0
123749142,2996429.8
124469116,14012441.0
124489116,12478621.0
129389447,3471596.5
122409680,7725531.0
122439680,11291373.0
122429681,11454133.0
122479681,13397590.0
122489681,13419593.0
120999931,10923079.0
120999932,10931362.0
120939933,10953118.0
120989933,11066027.0
120919935,11606647.0
120999935,10950994.0
120939936,14705819.0
120949936,11422874.0
120919938,13477915.0
120929938,10662751.0
120949939,10810738.0
120989939,10886614.0
120009940,7704698.5
120039940,10934856.0
120099940,10923079.0
120099941,10931362.0
120039942,10953118.0
120089942,11066027.0
120039943,11152055.0
120019944,11606647.0
120059944,14428595.0
120169940,10985747.0
120129941,11101165.0
120179942,11017909.0
120189942,11091062.0
120129943,11077724.0
120139943,11173315.0
120179943,11100255.0
120189943,11198749.0
120149944,9336602.0
120159944,11230350.0
120199944,9361665.0
120149945,9944114.0
120159945,9827526.0
130459021,2021454.2
136259016,9555960.0
136469180,13925274.0
136419182,9913603.0
133379231,6393773.0
135739561,6976386.0
131749648,10433922.0
139019862,15998939.0
134429977,14341780.0
148049015,13154167.0
143549365,16434481.0
143599365,11558576.0
143549366,11540438.0
